Magnitude,Type,Ingredient 1,Ingredient 2,Ingredient 3,Effects,Effect 1,Effect 2,Effect 3,Effect 4,Effect 5,MyPotionID,Can Make
8,Potion,Mudcrab Chitin,Purple Mountain Flower,Slaughterfish Scales,2,Restore Stamina,Resist Frost,,,,14339,TRUE
8,Potion,Mudcrab Chitin,Snowberries,Torchbug Thorax,2,Resist Fire,Restore Stamina,,,,14384,TRUE
8,Potion,Mudcrab Chitin,Snowberries,Vampire Dust,2,Resist Fire,Cure Disease,,,,14386,TRUE
8,Potion,Orange Dartwing,Purple Mountain Flower,Snowberries,2,Restore Stamina,Resist Frost,,,,14612,TRUE
8,Potion,Orange Dartwing,Purple Mountain Flower,Thistle Branch,2,Restore Stamina,Resist Frost,,,,14614,TRUE
8,Potion,River Betty,Scaly Pholiota,Spriggan Sap,2,Fortify Carry Weight,Fortify Alteration,,,,15012,TRUE
7,Mixed,Canis Root,Rock Warbler Egg,,2,Damage Stamina,Fortify One-Handed,,,,5155,TRUE
7,Mixed,Canis Root,Spider Egg,,2,Damage Stamina,Fortify Marksman,,,,5165,TRUE
7,Mixed,Creep Cluster,Taproot,,2,Restore Magicka,Weakness to Magic,,,,6788,TRUE
7,Mixed,Red Mountain Flower,White Cap,,2,Restore Magicka,Ravage Magicka,,,,14998,TRUE
7,Mixed,Salt Pile,Taproot,,2,Weakness to Magic,Regenerate Magicka,,,,15142,TRUE
7,Mixed,Blisterwort,Bone Meal,Fly Amanita,3,Damage Stamina,Resist Fire,Frenzy,,,2223,TRUE
7,Mixed,Blisterwort,Bone Meal,Spriggan Sap,2,Damage Stamina,Fortify Smithing,,,,2235,TRUE
7,Mixed,Blisterwort,Canis Root,Elves Ear,2,Damage Stamina,Fortify Marksman,,,,2274,TRUE
7,Mixed,Blisterwort,Canis Root,Spider Egg,2,Damage Stamina,Fortify Marksman,,,,2289,TRUE
7,Mixed,Blisterwort,Canis Root,Spriggan Sap,2,Damage Stamina,Fortify Smithing,,,,2290,TRUE
7,Mixed,Blisterwort,Nirnroot,Spriggan Sap,2,Damage Stamina,Fortify Smithing,,,,2617,TRUE
7,Mixed,Blue Butterfly Wing,Canis Root,Elves Ear,2,Damage Stamina,Fortify Marksman,,,,2707,TRUE
7,Mixed,Blue Butterfly Wing,Canis Root,Rock Warbler Egg,2,Damage Stamina,Fortify One-Handed,,,,2721,TRUE
7,Mixed,Blue Butterfly Wing,Lavender,Orange Dartwing,2,Fortify Conjuration,Ravage Magicka,,,,2964,TRUE
7,Mixed,Blue Butterfly Wing,Lavender,Red Mountain Flower,2,Fortify Conjuration,Ravage Magicka,,,,2965,TRUE
7,Mixed,Blue Butterfly Wing,Lavender,White Cap,2,Fortify Conjuration,Ravage Magicka,,,,2974,TRUE
7,Mixed,Blue Mountain Flower,Bone Meal,Deathbell,2,Fortify Conjuration,Ravage Stamina,,,,3397,TRUE
7,Mixed,Blue Mountain Flower,Bone Meal,Honeycomb,2,Fortify Conjuration,Ravage Stamina,,,,3407,TRUE
7,Mixed,Blue Mountain Flower,Bone Meal,Thistle Branch,2,Fortify Conjuration,Ravage Stamina,,,,3419,TRUE
7,Mixed,Blue Mountain Flower,Imp Stool,Nirnroot,2,Restore Health,Damage Health,,,,3717,TRUE
7,Mixed,Blue Mountain Flower,Imp Stool,Red Mountain Flower,2,Restore Health,Damage Health,,,,3719,TRUE
7,Mixed,Blue Mountain Flower,Imp Stool,Skeever Tail,2,Restore Health,Damage Health,,,,3721,TRUE
7,Mixed,Blue Mountain Flower,Imp Stool,Troll Fat,2,Restore Health,Damage Health,,,,3728,TRUE
7,Mixed,Blue Mountain Flower,Imp Stool,Void Salts,2,Restore Health,Damage Health,,,,3729,TRUE
7,Mixed,Blue Mountain Flower,Lavender,Orange Dartwing,2,Fortify Conjuration,Ravage Magicka,,,,3751,TRUE
7,Mixed,Blue Mountain Flower,Lavender,Red Mountain Flower,2,Fortify Conjuration,Ravage Magicka,,,,3752,TRUE
7,Mixed,Blue Mountain Flower,Lavender,White Cap,2,Fortify Conjuration,Ravage Magicka,,,,3762,TRUE
7,Mixed,Blue Mountain Flower,Rock Warbler Egg,Salt Pile,2,Restore Health,Weakness to Magic,,,,3777,TRUE
7,Mixed,Blue Mountain Flower,Rock Warbler Egg,Scaly Pholiota,2,Restore Health,Weakness to Magic,,,,3778,TRUE
7,Mixed,Blue Mountain Flower,Rock Warbler Egg,Taproot,2,Restore Health,Weakness to Magic,,,,3782,TRUE
7,Mixed,Blue Mountain Flower,Rock Warbler Egg,Torchbug Thorax,2,Restore Health,Weakness to Magic,,,,3783,TRUE
7,Mixed,Bone Meal,Canis Root,Rock Warbler Egg,2,Damage Stamina,Fortify One-Handed,,,,3811,TRUE
7,Mixed,Bone Meal,Canis Root,Spider Egg,2,Damage Stamina,Fortify Marksman,,,,3814,TRUE
7,Mixed,Bone Meal,Deathbell,Hagraven Feathers,2,Ravage Stamina,Fortify Conjuration,,,,3884,TRUE
7,Mixed,Bone Meal,Deathbell,Lavender,2,Ravage Stamina,Fortify Conjuration,,,,3890,TRUE
7,Mixed,Bone Meal,Hagraven Feathers,Honeycomb,2,Fortify Conjuration,Ravage Stamina,,,,4038,TRUE
7,Mixed,Bone Meal,Hagraven Feathers,Thistle Branch,2,Fortify Conjuration,Ravage Stamina,,,,4049,TRUE
7,Mixed,Bone Meal,Honeycomb,Lavender,2,Ravage Stamina,Fortify Conjuration,,,,4055,TRUE
7,Mixed,Bone Meal,Honeycomb,Orange Dartwing,2,Ravage Stamina,Restore Stamina,,,,4059,TRUE
7,Mixed,Bone Meal,Honeycomb,Purple Mountain Flower,2,Ravage Stamina,Restore Stamina,,,,4063,TRUE
7,Mixed,Bone Meal,Honeycomb,Torchbug Thorax,2,Ravage Stamina,Restore Stamina,,,,4072,TRUE
7,Mixed,Bone Meal,Lavender,Orange Dartwing,2,Fortify Conjuration,Ravage Magicka,,,,4096,TRUE
7,Mixed,Bone Meal,Lavender,Red Mountain Flower,2,Fortify Conjuration,Ravage Magicka,,,,4097,TRUE
7,Mixed,Bone Meal,Lavender,Thistle Branch,2,Fortify Conjuration,Ravage Stamina,,,,4102,TRUE
7,Mixed,Bone Meal,Lavender,White Cap,2,Fortify Conjuration,Ravage Magicka,,,,4106,TRUE
7,Mixed,Butterfly Wing,Imp Stool,Nirnroot,2,Restore Health,Damage Health,,,,4822,TRUE
7,Mixed,Butterfly Wing,Imp Stool,Red Mountain Flower,2,Restore Health,Damage Health,,,,4825,TRUE
7,Mixed,Butterfly Wing,Imp Stool,Skeever Tail,2,Restore Health,Damage Health,,,,4827,TRUE
7,Mixed,Butterfly Wing,Imp Stool,Troll Fat,2,Restore Health,Damage Health,,,,4832,TRUE
7,Mixed,Butterfly Wing,Imp Stool,Void Salts,2,Restore Health,Damage Health,,,,4834,TRUE
7,Mixed,Butterfly Wing,Nordic Barnacle,Orange Dartwing,2,Damage Magicka,Fortify Pickpocket,,,,4891,TRUE
7,Mixed,Butterfly Wing,Rock Warbler Egg,Salt Pile,2,Restore Health,Weakness to Magic,,,,4900,TRUE
7,Mixed,Butterfly Wing,Rock Warbler Egg,Scaly Pholiota,2,Restore Health,Weakness to Magic,,,,4901,TRUE
7,Mixed,Butterfly Wing,Rock Warbler Egg,Taproot,2,Restore Health,Weakness to Magic,,,,4905,TRUE
7,Mixed,Butterfly Wing,Rock Warbler Egg,Torchbug Thorax,2,Restore Health,Weakness to Magic,,,,4906,TRUE
7,Mixed,Canis Root,Elves Ear,Ice Wraith Teeth,2,Fortify Marksman,Weakness to Frost,,,,4986,TRUE
7,Mixed,Canis Root,Elves Ear,Nirnroot,2,Fortify Marksman,Damage Stamina,,,,4992,TRUE
7,Mixed,Canis Root,Elves Ear,Spider Egg,2,Fortify Marksman,Damage Stamina,,,,4998,TRUE
7,Mixed,Canis Root,Imp Stool,Spider Egg,3,Paralysis,Damage Stamina,Fortify Marksman,,,5094,TRUE
7,Mixed,Canis Root,Nirnroot,Rock Warbler Egg,2,Damage Stamina,Fortify One-Handed,,,,5136,TRUE
7,Mixed,Canis Root,Nirnroot,Spider Egg,2,Damage Stamina,Fortify Marksman,,,,5140,TRUE
7,Mixed,Canis Root,Spider Egg,Swamp Fungal Pod,3,Damage Stamina,Fortify Marksman,Paralysis,,,5164,TRUE
7,Mixed,Creep Cluster,Ectoplasm,Imp Stool,2,Restore Magicka,Damage Health,,,,6305,TRUE
7,Mixed,Creep Cluster,Ectoplasm,Nirnroot,2,Restore Magicka,Damage Health,,,,6311,TRUE
7,Mixed,Creep Cluster,Ectoplasm,Rock Warbler Egg,2,Restore Magicka,Weakness to Magic,,,,6314,TRUE
7,Mixed,Creep Cluster,Ectoplasm,Salt Pile,2,Restore Magicka,Weakness to Magic,,,,6315,TRUE
7,Mixed,Creep Cluster,Ectoplasm,Taproot,2,Restore Magicka,Weakness to Magic,,,,6320,TRUE
7,Mixed,Creep Cluster,Ectoplasm,Torchbug Thorax,2,Restore Magicka,Weakness to Magic,,,,6321,TRUE
7,Mixed,Creep Cluster,Ectoplasm,Troll Fat,2,Restore Magicka,Damage Health,,,,6322,TRUE
7,Mixed,Creep Cluster,Elves Ear,Rock Warbler Egg,2,Restore Magicka,Weakness to Magic,,,,6340,TRUE
7,Mixed,Creep Cluster,Elves Ear,Salt Pile,2,Restore Magicka,Weakness to Magic,,,,6341,TRUE
7,Mixed,Creep Cluster,Elves Ear,Taproot,2,Restore Magicka,Weakness to Magic,,,,6347,TRUE
7,Mixed,Creep Cluster,Elves Ear,Torchbug Thorax,2,Restore Magicka,Weakness to Magic,,,,6348,TRUE
7,Mixed,Creep Cluster,Giant Lichen,Rock Warbler Egg,2,Restore Magicka,Weakness to Magic,,,,6445,TRUE
7,Mixed,Creep Cluster,Giant Lichen,Salt Pile,2,Restore Magicka,Weakness to Magic,,,,6447,TRUE
7,Mixed,Creep Cluster,Giant Lichen,Taproot,2,Restore Magicka,Weakness to Magic,,,,6452,TRUE
7,Mixed,Creep Cluster,Giant Lichen,Torchbug Thorax,2,Restore Magicka,Weakness to Magic,,,,6453,TRUE
7,Mixed,Creep Cluster,Mora Tapinella,Rock Warbler Egg,2,Restore Magicka,Weakness to Magic,,,,6673,TRUE
7,Mixed,Creep Cluster,Mora Tapinella,Salt Pile,2,Restore Magicka,Weakness to Magic,,,,6674,TRUE
7,Mixed,Creep Cluster,Mora Tapinella,Torchbug Thorax,2,Restore Magicka,Weakness to Magic,,,,6681,TRUE
7,Mixed,Creep Cluster,Red Mountain Flower,Rock Warbler Egg,2,Restore Magicka,Weakness to Magic,,,,6706,TRUE
7,Mixed,Creep Cluster,Red Mountain Flower,Salt Pile,2,Restore Magicka,Weakness to Magic,,,,6707,TRUE
7,Mixed,Creep Cluster,Red Mountain Flower,Taproot,2,Restore Magicka,Weakness to Magic,,,,6712,TRUE
7,Mixed,Creep Cluster,Red Mountain Flower,Torchbug Thorax,2,Restore Magicka,Weakness to Magic,,,,6713,TRUE
7,Mixed,Creep Cluster,Red Mountain Flower,Troll Fat,2,Restore Magicka,Damage Health,,,,6714,TRUE
7,Mixed,Creep Cluster,Red Mountain Flower,White Cap,2,Restore Magicka,Ravage Magicka,,,,6718,TRUE
7,Mixed,Creep Cluster,Rock Warbler Egg,Swamp Fungal Pod,2,Weakness to Magic,Restore Health,,,,6741,TRUE
7,Mixed,Creep Cluster,Rock Warbler Egg,Taproot,2,Weakness to Magic,Restore Magicka,,,,6742,TRUE
7,Mixed,Creep Cluster,Rock Warbler Egg,Vampire Dust,2,Weakness to Magic,Restore Magicka,,,,6743,TRUE
7,Mixed,Creep Cluster,Rock Warbler Egg,White Cap,2,Weakness to Magic,Restore Magicka,,,,6745,TRUE
7,Mixed,Creep Cluster,Salt Pile,Vampire Dust,2,Weakness to Magic,Restore Magicka,,,,6754,TRUE
7,Mixed,Creep Cluster,Salt Pile,White Cap,2,Weakness to Magic,Restore Magicka,,,,6756,TRUE
7,Mixed,Creep Cluster,Torchbug Thorax,Vampire Dust,2,Weakness to Magic,Restore Magicka,,,,6789,TRUE
7,Mixed,Creep Cluster,Torchbug Thorax,White Cap,2,Weakness to Magic,Restore Magicka,,,,6791,TRUE
7,Mixed,Deathbell,Ectoplasm,Histcarp,2,Damage Health,Fortify Magicka,,,,7734,TRUE
7,Mixed,Deathbell,Ectoplasm,Nightshade,2,Damage Health,Fortify Destruction,,,,7741,TRUE
7,Mixed,Deathbell,Ectoplasm,Tundra Cotton,2,Damage Health,Fortify Magicka,,,,7751,TRUE
7,Mixed,Deathbell,Ectoplasm,Void Salts,2,Damage Health,Fortify Magicka,,,,7753,TRUE
7,Mixed,Deathbell,Giant Lichen,Mora Tapinella,2,Weakness to Poison,Restore Magicka,,,,7787,TRUE
7,Mixed,Deathbell,Giant Lichen,Taproot,2,Weakness to Poison,Restore Magicka,,,,7797,TRUE
7,Mixed,Deathbell,Giant Lichen,Vampire Dust,2,Weakness to Poison,Restore Magicka,,,,7800,TRUE
7,Mixed,Deathbell,Giant Lichen,White Cap,2,Weakness to Poison,Restore Magicka,,,,7802,TRUE
7,Mixed,Deathbell,Honeycomb,Mudcrab Chitin,2,Ravage Stamina,Restore Stamina,,,,7810,TRUE
7,Mixed,Deathbell,Honeycomb,Orange Dartwing,2,Ravage Stamina,Restore Stamina,,,,7813,TRUE
7,Mixed,Deathbell,Honeycomb,Purple Mountain Flower,2,Ravage Stamina,Restore Stamina,,,,7817,TRUE
7,Mixed,Deathbell,Honeycomb,Skeever Tail,3,Ravage Stamina,Damage Health,Fortify Light Armor,,,7823,TRUE
7,Mixed,Deathbell,Honeycomb,Torchbug Thorax,2,Ravage Stamina,Restore Stamina,,,,7827,TRUE
7,Mixed,Deathbell,Red Mountain Flower,Tundra Cotton,2,Damage Health,Fortify Magicka,,,,7971,TRUE
7,Mixed,Deathbell,Red Mountain Flower,Void Salts,2,Damage Health,Fortify Magicka,,,,7973,TRUE
7,Mixed,Ectoplasm,Elves Ear,Imp Stool,2,Restore Magicka,Damage Health,,,,8445,TRUE
7,Mixed,Ectoplasm,Elves Ear,Nirnroot,2,Restore Magicka,Damage Health,,,,8451,TRUE
7,Mixed,Ectoplasm,Elves Ear,Skeever Tail,2,Restore Magicka,Damage Health,,,,8454,TRUE
7,Mixed,Ectoplasm,Elves Ear,Troll Fat,2,Restore Magicka,Damage Health,,,,8458,TRUE
7,Mixed,Ectoplasm,Giant Lichen,Imp Stool,2,Restore Magicka,Damage Health,,,,8562,TRUE
7,Mixed,Ectoplasm,Giant Lichen,Nirnroot,2,Restore Magicka,Damage Health,,,,8566,TRUE
7,Mixed,Ectoplasm,Giant Lichen,Troll Fat,2,Restore Magicka,Damage Health,,,,8574,TRUE
7,Mixed,Ectoplasm,Glow Dust,Imp Stool,2,Fortify Destruction,Damage Health,,,,8587,TRUE
7,Mixed,Ectoplasm,Glow Dust,Nirnroot,2,Fortify Destruction,Damage Health,,,,8595,TRUE
7,Mixed,Ectoplasm,Glow Dust,Skeever Tail,2,Fortify Destruction,Damage Health,,,,8601,TRUE
7,Mixed,Ectoplasm,Glow Dust,Troll Fat,2,Fortify Destruction,Damage Health,,,,8608,TRUE
7,Mixed,Ectoplasm,Imp Stool,Rock Warbler Egg,2,Damage Health,Restore Health,,,,8741,TRUE
7,Mixed,Ectoplasm,Imp Stool,Swamp Fungal Pod,3,Damage Health,Paralysis,Restore Health,,,8744,TRUE
7,Mixed,Ectoplasm,Imp Stool,Taproot,2,Damage Health,Restore Magicka,,,,8745,TRUE
7,Mixed,Ectoplasm,Imp Stool,Vampire Dust,2,Damage Health,Restore Magicka,,,,8747,TRUE
7,Mixed,Ectoplasm,Imp Stool,White Cap,2,Damage Health,Restore Magicka,,,,8750,TRUE
7,Mixed,Ectoplasm,Mora Tapinella,Nirnroot,2,Restore Magicka,Damage Health,,,,8815,TRUE
7,Mixed,Ectoplasm,Mora Tapinella,Skeever Tail,2,Restore Magicka,Damage Health,,,,8820,TRUE
7,Mixed,Ectoplasm,Mora Tapinella,Troll Fat,2,Restore Magicka,Damage Health,,,,8825,TRUE
7,Mixed,Ectoplasm,Nirnroot,Taproot,2,Damage Health,Restore Magicka,,,,8845,TRUE
7,Mixed,Ectoplasm,Nirnroot,Tundra Cotton,3,Damage Health,Resist Magic,Fortify Magicka,,,8846,TRUE
7,Mixed,Ectoplasm,Nirnroot,Vampire Dust,3,Damage Health,Invisibility,Restore Magicka,,,8847,TRUE
7,Mixed,Ectoplasm,Nirnroot,Void Salts,3,Damage Health,Resist Magic,Fortify Magicka,,,8848,TRUE
7,Mixed,Ectoplasm,Nirnroot,White Cap,2,Damage Health,Restore Magicka,,,,8849,TRUE
7,Mixed,Ectoplasm,Skeever Tail,Taproot,2,Damage Health,Restore Magicka,,,,8884,TRUE
7,Mixed,Ectoplasm,Skeever Tail,Vampire Dust,2,Damage Health,Restore Magicka,,,,8886,TRUE
7,Mixed,Ectoplasm,Skeever Tail,White Cap,2,Damage Health,Restore Magicka,,,,8889,TRUE
7,Mixed,Ectoplasm,Taproot,Torchbug Thorax,2,Restore Magicka,Weakness to Magic,,,,8900,TRUE
7,Mixed,Ectoplasm,Taproot,Troll Fat,2,Restore Magicka,Damage Health,,,,8901,TRUE
7,Mixed,Ectoplasm,Troll Fat,Vampire Dust,2,Damage Health,Restore Magicka,,,,8907,TRUE
7,Mixed,Ectoplasm,Troll Fat,White Cap,2,Damage Health,Restore Magicka,,,,8909,TRUE
7,Mixed,Ectoplasm,Tundra Cotton,Void Salts,3,Fortify Magicka,Resist Magic,Damage Health,,,8913,TRUE
7,Mixed,Elves Ear,Giant Lichen,Skeever Tail,2,Restore Magicka,Ravage Health,,,,8978,TRUE
7,Mixed,Elves Ear,Ice Wraith Teeth,Spider Egg,2,Weakness to Frost,Fortify Marksman,,,,9033,TRUE
7,Mixed,Elves Ear,Red Mountain Flower,Skeever Tail,2,Restore Magicka,Damage Health,,,,9115,TRUE
7,Mixed,Elves Ear,Red Mountain Flower,Troll Fat,2,Restore Magicka,Damage Health,,,,9119,TRUE
7,Mixed,Elves Ear,Taproot,Torchbug Thorax,2,Restore Magicka,Weakness to Magic,,,,9137,TRUE
7,Mixed,Fire Salts,Mora Tapinella,Orange Dartwing,2,Restore Magicka,Lingering Damage Health,,,,10077,TRUE
7,Mixed,Fire Salts,Mora Tapinella,Slaughterfish Scales,2,Restore Magicka,Lingering Damage Health,,,,10081,TRUE
7,Mixed,Fire Salts,Salt Pile,Scaly Pholiota,2,Regenerate Magicka,Weakness to Magic,,,,10132,TRUE
7,Mixed,Fire Salts,Salt Pile,Torchbug Thorax,2,Regenerate Magicka,Weakness to Magic,,,,10137,TRUE
7,Mixed,Fly Amanita,Scaly Pholiota,Torchbug Thorax,2,Regenerate Stamina,Weakness to Magic,,,,10219,TRUE
7,Mixed,Fly Amanita,Troll Fat,Void Salts,3,Fortify Two-handed,Frenzy,Damage Health,,,10228,TRUE
7,Mixed,Frost Mirriam,Orange Dartwing,Torchbug Thorax,2,Ravage Magicka,Restore Stamina,,,,10498,TRUE
7,Mixed,Frost Mirriam,Red Mountain Flower,Taproot,2,Ravage Magicka,Restore Magicka,,,,10534,TRUE
7,Mixed,Frost Mirriam,Red Mountain Flower,Vampire Dust,2,Ravage Magicka,Restore Magicka,,,,10538,TRUE
7,Mixed,Frost Mirriam,Red Mountain Flower,White Cap,2,Ravage Magicka,Restore Magicka,,,,10541,TRUE
7,Mixed,Frost Mirriam,Slaughterfish Scales,White Cap,3,Resist Frost,Fortify Heavy Armor,Ravage Magicka,,,10561,TRUE
7,Mixed,Frost Mirriam,Thistle Branch,White Cap,3,Resist Frost,Fortify Heavy Armor,Ravage Magicka,,,10575,TRUE
7,Mixed,Garlic,Salt Pile,Scaly Pholiota,2,Regenerate Magicka,Weakness to Magic,,,,11043,TRUE
7,Mixed,Garlic,Salt Pile,Taproot,2,Regenerate Magicka,Weakness to Magic,,,,11047,TRUE
7,Mixed,Giant Lichen,Mora Tapinella,Skeever Tail,2,Restore Magicka,Ravage Health,,,,11175,TRUE
7,Mixed,Giant Lichen,Red Mountain Flower,Troll Fat,2,Restore Magicka,Damage Health,,,,11220,TRUE
7,Mixed,Giant Lichen,Red Mountain Flower,White Cap,2,Restore Magicka,Ravage Magicka,,,,11223,TRUE
7,Mixed,Giant Lichen,Skeever Tail,Taproot,2,Ravage Health,Restore Magicka,,,,11253,TRUE
7,Mixed,Giant Lichen,Skeever Tail,Vampire Dust,2,Ravage Health,Restore Magicka,,,,11255,TRUE
7,Mixed,Giant Lichen,Skeever Tail,White Cap,2,Ravage Health,Restore Magicka,,,,11258,TRUE
7,Mixed,Giant Lichen,Taproot,Torchbug Thorax,2,Restore Magicka,Weakness to Magic,,,,11267,TRUE
7,Mixed,Glow Dust,Nordic Barnacle,Orange Dartwing,2,Damage Magicka,Fortify Pickpocket,,,,11636,TRUE
7,Mixed,Hagraven Feathers,Lavender,Orange Dartwing,2,Fortify Conjuration,Ravage Magicka,,,,12105,TRUE
7,Mixed,Hagraven Feathers,Lavender,Red Mountain Flower,2,Fortify Conjuration,Ravage Magicka,,,,12106,TRUE
7,Mixed,Hagraven Feathers,Lavender,White Cap,2,Fortify Conjuration,Ravage Magicka,,,,12112,TRUE
7,Mixed,Hagraven Feathers,Nordic Barnacle,Orange Dartwing,2,Damage Magicka,Fortify Pickpocket,,,,12131,TRUE
7,Mixed,Histcarp,Honeycomb,Thistle Branch,2,Restore Stamina,Ravage Stamina,,,,12616,TRUE
7,Mixed,Histcarp,Orange Dartwing,White Cap,2,Restore Stamina,Ravage Magicka,,,,12714,TRUE
7,Mixed,Honeycomb,Orange Dartwing,Red Mountain Flower,2,Restore Stamina,Ravage Magicka,,,,12869,TRUE
7,Mixed,Honeycomb,Orange Dartwing,Thistle Branch,2,Restore Stamina,Ravage Stamina,,,,12873,TRUE
7,Mixed,Honeycomb,Orange Dartwing,White Cap,2,Restore Stamina,Ravage Magicka,,,,12875,TRUE
7,Mixed,Honeycomb,Thistle Branch,Torchbug Thorax,2,Ravage Stamina,Restore Stamina,,,,12952,TRUE
7,Mixed,Imp Stool,Nightshade,Rock Warbler Egg,2,Damage Health,Restore Health,,,,13423,TRUE
7,Mixed,Imp Stool,Nightshade,Swamp Fungal Pod,3,Damage Health,Paralysis,Restore Health,,,13429,TRUE
7,Mixed,Imp Stool,Nirnroot,Swamp Fungal Pod,3,Damage Health,Paralysis,Restore Health,,,13438,TRUE
7,Mixed,Imp Stool,Red Mountain Flower,Rock Warbler Egg,2,Damage Health,Restore Health,,,,13466,TRUE
7,Mixed,Imp Stool,Red Mountain Flower,Swamp Fungal Pod,3,Damage Health,Paralysis,Restore Health,,,13469,TRUE
7,Mixed,Imp Stool,Red Mountain Flower,Taproot,2,Damage Health,Restore Magicka,,,,13470,TRUE
7,Mixed,Imp Stool,Red Mountain Flower,Vampire Dust,2,Damage Health,Restore Magicka,,,,13472,TRUE
7,Mixed,Imp Stool,Rock Warbler Egg,Salt Pile,2,Restore Health,Weakness to Magic,,,,13487,TRUE
7,Mixed,Imp Stool,Rock Warbler Egg,Scaly Pholiota,2,Restore Health,Weakness to Magic,,,,13488,TRUE
7,Mixed,Imp Stool,Rock Warbler Egg,Skeever Tail,2,Restore Health,Damage Health,,,,13489,TRUE
7,Mixed,Imp Stool,Rock Warbler Egg,Taproot,2,Restore Health,Weakness to Magic,,,,13496,TRUE
7,Mixed,Imp Stool,Rock Warbler Egg,Torchbug Thorax,2,Restore Health,Weakness to Magic,,,,13497,TRUE
7,Mixed,Imp Stool,Rock Warbler Egg,Troll Fat,2,Restore Health,Damage Health,,,,13498,TRUE
7,Mixed,Imp Stool,Rock Warbler Egg,Void Salts,2,Restore Health,Damage Health,,,,13499,TRUE
7,Mixed,Imp Stool,Skeever Tail,Swamp Fungal Pod,3,Damage Health,Paralysis,Restore Health,,,13503,TRUE
7,Mixed,Imp Stool,Swamp Fungal Pod,Troll Fat,3,Paralysis,Restore Health,Damage Health,,,13530,TRUE
7,Mixed,Imp Stool,Swamp Fungal Pod,Void Salts,3,Paralysis,Restore Health,Damage Health,,,13531,TRUE
7,Mixed,Lavender,Orange Dartwing,Purple Mountain Flower,2,Ravage Magicka,Restore Stamina,,,,14028,TRUE
7,Mixed,Lavender,Red Mountain Flower,Taproot,2,Ravage Magicka,Restore Magicka,,,,14043,TRUE
7,Mixed,Lavender,Red Mountain Flower,Tundra Cotton,3,Ravage Magicka,Resist Magic,Fortify Magicka,,,14046,TRUE
7,Mixed,Lavender,Red Mountain Flower,Vampire Dust,2,Ravage Magicka,Restore Magicka,,,,14047,TRUE
7,Mixed,Lavender,Red Mountain Flower,White Cap,2,Ravage Magicka,Restore Magicka,,,,14049,TRUE
7,Mixed,Mora Tapinella,Red Mountain Flower,Skeever Tail,2,Restore Magicka,Damage Health,,,,14261,TRUE
7,Mixed,Mora Tapinella,Red Mountain Flower,Troll Fat,2,Restore Magicka,Damage Health,,,,14266,TRUE
7,Mixed,Mora Tapinella,Red Mountain Flower,White Cap,2,Restore Magicka,Ravage Magicka,,,,14269,TRUE
7,Mixed,Mudcrab Chitin,Orange Dartwing,Red Mountain Flower,2,Restore Stamina,Ravage Magicka,,,,14298,TRUE
7,Mixed,Mudcrab Chitin,Orange Dartwing,White Cap,2,Restore Stamina,Ravage Magicka,,,,14305,TRUE
7,Mixed,Nightshade,Red Mountain Flower,Taproot,2,Damage Health,Restore Magicka,,,,14450,TRUE
7,Mixed,Nightshade,Red Mountain Flower,Vampire Dust,2,Damage Health,Restore Magicka,,,,14452,TRUE
7,Mixed,Nirnroot,Red Mountain Flower,Taproot,2,Damage Health,Restore Magicka,,,,14490,TRUE
7,Mixed,Nirnroot,Red Mountain Flower,Tundra Cotton,3,Damage Health,Resist Magic,Fortify Magicka,,,14491,TRUE
7,Mixed,Nirnroot,Red Mountain Flower,Vampire Dust,3,Damage Health,Invisibility,Restore Magicka,,,14492,TRUE
7,Mixed,Nirnroot,Red Mountain Flower,Void Salts,3,Damage Health,Resist Magic,Fortify Magicka,,,14493,TRUE
7,Mixed,Nirnroot,Tundra Cotton,Void Salts,3,Resist Magic,Damage Health,Fortify Magicka,,,14549,TRUE
7,Mixed,Orange Dartwing,Purple Mountain Flower,Red Mountain Flower,2,Restore Stamina,Ravage Magicka,,,,14607,TRUE
7,Mixed,Orange Dartwing,Purple Mountain Flower,White Cap,2,Restore Stamina,Ravage Magicka,,,,14617,TRUE
7,Mixed,Orange Dartwing,Red Mountain Flower,Taproot,2,Ravage Magicka,Restore Magicka,,,,14627,TRUE
7,Mixed,Orange Dartwing,Red Mountain Flower,Torchbug Thorax,2,Ravage Magicka,Restore Stamina,,,,14628,TRUE
7,Mixed,Orange Dartwing,Red Mountain Flower,Vampire Dust,2,Ravage Magicka,Restore Magicka,,,,14631,TRUE
7,Mixed,Orange Dartwing,Red Mountain Flower,White Cap,2,Ravage Magicka,Restore Magicka,,,,14633,TRUE
7,Mixed,Orange Dartwing,Torchbug Thorax,White Cap,2,Restore Stamina,Ravage Magicka,,,,14672,TRUE
7,Mixed,Purple Mountain Flower,Snowberries,Swamp Fungal Pod,3,Resist Frost,Resist Shock,Lingering Damage Magicka,,,14932,TRUE
7,Mixed,Red Mountain Flower,Skeever Tail,Taproot,2,Damage Health,Restore Magicka,,,,14962,TRUE
7,Mixed,Red Mountain Flower,Skeever Tail,Vampire Dust,2,Damage Health,Restore Magicka,,,,14964,TRUE
7,Mixed,Red Mountain Flower,Taproot,Torchbug Thorax,2,Restore Magicka,Weakness to Magic,,,,14976,TRUE
7,Mixed,Red Mountain Flower,Taproot,Troll Fat,2,Restore Magicka,Damage Health,,,,14977,TRUE
